recordingID,filepath,transcription_original,transcription_clean,has_audio_file,has_speech_in_audio,usable,duration,set
2070112_en_6_8_101,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017train/en_6_8_101/2070112_en_6_8_101.wav,@sil ,,True,False,False,4.968,ignore
2070116_en_6_8_101,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017train/en_6_8_101/2070116_en_6_8_101.wav,@sil ,,True,False,False,10.008,ignore
2030105_en_6_8_101,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017train/en_6_8_101/2030105_en_6_8_101.wav,@ns ,,True,False,False,10.0571875,ignore
2070113_en_6_8_101,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017train/en_6_8_101/2070113_en_6_8_101.wav,@sil ,,True,False,False,10.008,ignore
2060101_en_6_8_101,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017train/en_6_8_101/2060101_en_6_8_101.wav, <unk-de> ,<unk>,True,False,False,10.008,ignore
2080107_en_6_8_101,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017train/en_6_8_101/2080107_en_6_8_101.wav, @voice ,<unk>,True,False,False,9.9526875,ignore
2080317_en_5_7_103,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017train/en_5_7_103/2080317_en_5_7_103.wav,@sil ,,True,False,False,6.97475,ignore
2070103_en_5_7_103,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017train/en_5_7_103/2070103_en_5_7_103.wav,@ns ,,True,False,False,7.008,ignore
2020401_en_5_7_103,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017train/en_5_7_103/2020401_en_5_7_103.wav,@voice ,<unk>,True,False,False,7.008,ignore
2010312_en_5_7_103,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017train/en_5_7_103/2010312_en_5_7_103.wav,@sil ,,True,False,False,7.008,ignore
2050109_en_5_7_103,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017train/en_5_7_103/2050109_en_5_7_103.wav,@voice ,<unk>,True,False,False,7.104,ignore
2070116_en_5_7_103,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017train/en_5_7_103/2070116_en_5_7_103.wav,@sil ,,True,False,False,7.008,ignore
2020120_en_5_7_103,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017train/en_5_7_103/2020120_en_5_7_103.wav,@bkg ,,True,False,False,6.97475,ignore
2010211_en_5_7_103,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017train/en_5_7_103/2010211_en_5_7_103.wav, <unk-it> ,<unk>,True,False,False,7.008,ignore
2010309_en_5_7_103,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017train/en_5_7_103/2010309_en_5_7_103.wav,@voice ,<unk>,True,False,False,7.008,ignore
2020421_en_5_7_103,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017train/en_5_7_103/2020421_en_5_7_103.wav,@voice ,<unk>,True,False,False,6.97475,ignore
2070109_en_5_7_103,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017train/en_5_7_103/2070109_en_5_7_103.wav,@sil ,,True,False,False,7.008,ignore
2070113_en_5_7_103,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017train/en_5_7_103/2070113_en_5_7_103.wav,@sil ,,True,False,False,7.008,ignore
2030108_en_5_7_103,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017train/en_5_7_103/2030108_en_5_7_103.wav,@bkg ,,True,False,False,6.97475,ignore
2070122_en_5_7_103,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017train/en_5_7_103/2070122_en_5_7_103.wav,@sil ,,True,False,False,7.008,ignore
2030113_en_5_7_103,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017train/en_5_7_103/2030113_en_5_7_103.wav,@bkg ,,True,False,False,7.008,ignore
2010313_en_5_7_103,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017train/en_5_7_103/2010313_en_5_7_103.wav,@sil ,,True,False,False,7.008,ignore
2030104_en_5_7_103,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017train/en_5_7_103/2030104_en_5_7_103.wav,@bkg ,,True,False,False,7.008,ignore
2080215_en_5_7_103,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017train/en_5_7_103/2080215_en_5_7_103.wav,@sil ,,True,False,False,6.97475,ignore
2050119_en_5_7_103,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017train/en_5_7_103/2050119_en_5_7_103.wav,@sil ,,True,False,False,7.008,ignore
