recordingID,filepath,transcription_original,transcription_clean,has_audio_file,has_speech_in_audio,usable,duration,set
2080308_en_6_8_101,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017train/en_6_8_101/2080308_en_6_8_101.wav,@e @laugh <unk-it> ,e <unk>,True,True,True,10.0571875,finetune
2080209_en_6_8_101,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017train/en_6_8_101/2080209_en_6_8_101.wav,yes @voice @bkg ,yes <unk>,True,True,True,10.0571875,finetune
2080119_en_6_8_101,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017train/en_6_8_101/2080119_en_6_8_101.wav,@voice yes ,<unk> yes,True,True,True,9.9526875,finetune
2010109_en_6_8_101,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017train/en_6_8_101/2010109_en_6_8_101.wav,yes thank you @voice @ns ,yes thank you <unk>,True,True,True,10.008,finetune
2070103_en_6_8_101,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017train/en_6_8_101/2070103_en_6_8_101.wav,yes i like <unk-it> yes i like this ,yes i like <unk> yes i like this,True,True,True,10.08,finetune
2030107_en_6_8_101,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017train/en_6_8_101/2030107_en_6_8_101.wav,@voice yes yes yes yes ,<unk> yes yes yes yes,True,True,True,10.008,finetune
2060104_en_6_8_101,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017train/en_6_8_101/2060104_en_6_8_101.wav,yes @cough ,yes,True,True,True,10.008,finetune
2020108_en_6_8_101,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017train/en_6_8_101/2020108_en_6_8_101.wav,yes i like pizza @ns @voice @breath ,yes i like pizza <unk> eath,True,True,True,10.008,finetune
2040106_en_6_8_101,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017train/en_6_8_101/2040106_en_6_8_101.wav,yes i like pizza @voice ,yes i like pizza <unk>,True,True,True,10.008,finetune
2010208_en_6_8_101,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017train/en_6_8_101/2010208_en_6_8_101.wav,cola coca-cola <unk-it> ,cola coca cola <unk>,True,True,True,10.008,finetune
2070121_en_6_8_101,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017train/en_6_8_101/2070121_en_6_8_101.wav,yes i like pizza i like pizza <unk-it> ,yes i like pizza i like pizza <unk>,True,True,True,10.008,finetune
2020207_en_6_8_101,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017train/en_6_8_101/2020207_en_6_8_101.wav,yes i like ,yes i like,True,True,True,9.9526875,finetune
2080120_en_6_8_101,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017train/en_6_8_101/2080120_en_6_8_101.wav,yes @voice ,yes <unk>,True,True,True,10.0571875,finetune
2010118_en_6_8_101,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017train/en_6_8_101/2010118_en_6_8_101.wav,@em @e pizza @breath @m <unk-it> ,em e pizza eath m <unk>,True,True,True,10.008,finetune
2070112_en_6_8_101,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017train/en_6_8_101/2070112_en_6_8_101.wav,@sil ,,True,False,False,4.968,ignore
2030116_en_6_8_101,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017train/en_6_8_101/2030116_en_6_8_101.wav,yes i like it @voice ,yes i like it <unk>,True,True,True,9.9526875,finetune
2060113_en_6_8_101,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017train/en_6_8_101/2060113_en_6_8_101.wav,@voice yes i like pizza ,<unk> yes i like pizza,True,True,True,10.08,finetune
2020117_en_6_8_101,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017train/en_6_8_101/2020117_en_6_8_101.wav,yes i love pizza @voice yes i have pizza ,yes i love pizza <unk> yes i have pizza,True,True,True,10.008,finetune
2080111_en_6_8_101,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017train/en_6_8_101/2080111_en_6_8_101.wav,i like pizza @voice ,i like pizza <unk>,True,True,True,10.0571875,finetune
2020414_en_6_8_101,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017train/en_6_8_101/2020414_en_6_8_101.wav,yes i like pizza yes i like pizza pizza pizza party pizza ,yes i like pizza yes i like pizza pizza pizza party pizza,True,True,True,10.08,finetune
2020216_en_6_8_101,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017train/en_6_8_101/2020216_en_6_8_101.wav,i like pizza @voice @laugh ,i like pizza <unk>,True,True,True,10.008,finetune
2080210_en_6_8_101,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017train/en_6_8_101/2080210_en_6_8_101.wav,yes yes @um so so @voice ,yes yes um so so <unk>,True,True,True,10.0571875,finetune
2020104_en_6_8_101,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017train/en_6_8_101/2020104_en_6_8_101.wav,@voice no my favo- ,<unk> no my favo,True,True,True,10.008,finetune
2010303_en_6_8_101,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017train/en_6_8_101/2010303_en_6_8_101.wav,@em @breath yes @breath @ns ,em eath yes eath,True,True,True,10.008,finetune
2040120_en_6_8_101,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017train/en_6_8_101/2040120_en_6_8_101.wav, pizza @bkg ,pizza,True,True,True,10.008,finetune
2020122_en_6_8_101,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017train/en_6_8_101/2020122_en_6_8_101.wav,my favourite pizza is <unk-it> @ns ,my favourite pizza is <unk>,True,True,True,10.008,finetune
2020203_en_6_8_101,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017train/en_6_8_101/2020203_en_6_8_101.wav,@m i like pizza i like @e and pizza <unk-it> ,m i like pizza i like e and pizza <unk>,True,True,True,10.08,finetune
