filepath,transcription,duration
/srv/scratch/chacmod/OGI/speech/scripted/00/0/ks001/ks001000.wav,advantage,4.092
/srv/scratch/chacmod/OGI/speech/scripted/00/0/ks001/ks001050.wav,athlete,2.6150625
/srv/scratch/chacmod/OGI/speech/scripted/00/0/ks001/ks0010a0.wav,behind,4.5990625
/srv/scratch/chacmod/OGI/speech/scripted/00/0/ks001/ks0010f0.wav,boomerang,2.615125
/srv/scratch/chacmod/OGI/speech/scripted/00/0/ks001/ks0010k0.wav,chair,3.5914375
/srv/scratch/chacmod/OGI/speech/scripted/00/0/ks001/ks0010p0.wav,civilized,3.5906875
/srv/scratch/chacmod/OGI/speech/scripted/00/0/ks001/ks0010u0.wav,crenshaw,4.091375
/srv/scratch/chacmod/OGI/speech/scripted/00/0/ks001/ks0010z0.wav,design,3.15575
/srv/scratch/chacmod/OGI/speech/scripted/00/0/ks001/ks001140.wav,easier,2.6145
/srv/scratch/chacmod/OGI/speech/scripted/00/0/ks001/ks001190.wav,ethnic,3.5905625
/srv/scratch/chacmod/OGI/speech/scripted/00/0/ks001/ks0011e0.wav,five,2.087375
/srv/scratch/chacmod/OGI/speech/scripted/00/0/ks001/ks0011j0.wav,gumshoe,4.0920625
/srv/scratch/chacmod/OGI/speech/scripted/00/0/ks001/ks0011o0.wav,homemaking,3.155375
/srv/scratch/chacmod/OGI/speech/scripted/00/0/ks001/ks0011t0.wav,iceberg,2.6148125
/srv/scratch/chacmod/OGI/speech/scripted/00/0/ks001/ks0011y0.wav,kingpin,4.0908125
/srv/scratch/chacmod/OGI/speech/scripted/00/0/ks001/ks001230.wav,logic,2.088625
/srv/scratch/chacmod/OGI/speech/scripted/00/0/ks001/ks001280.wav,mcdonald,4.0916875
/srv/scratch/chacmod/OGI/speech/scripted/00/0/ks001/ks0012d0.wav,mohawk,3.1555
/srv/scratch/chacmod/OGI/speech/scripted/00/0/ks001/ks0012i0.wav,napkin,3.5905625
/srv/scratch/chacmod/OGI/speech/scripted/00/0/ks001/ks0012n0.wav,nuclear,3.59025
/srv/scratch/chacmod/OGI/speech/scripted/00/0/ks001/ks0013h0.wav,push,3.1554375
/srv/scratch/chacmod/OGI/speech/scripted/00/0/ks001/ks0013v0.wav,the young emperor could not spell,6.104125
/srv/scratch/chacmod/OGI/speech/scripted/00/0/ks001/ks0013w0.wav,the illusion looked like a giraffe,6.0951875
/srv/scratch/chacmod/OGI/speech/scripted/00/0/ks001/ks0014k0.wav,a feather was in the birdcage,6.0949375
/srv/scratch/chacmod/OGI/speech/scripted/00/0/ks001/ks0014v0.wav,that person eats pancakes,6.595875
/srv/scratch/chacmod/OGI/speech/scripted/00/0/ks001/ks001500.wav,the flood took a car down the street,6.595125
/srv/scratch/chacmod/OGI/speech/scripted/00/0/ks001/ks001540.wav,grandmother played football last year,6.0945
/srv/scratch/chacmod/OGI/speech/scripted/00/0/ks001/ks0015d0.wav,mabel grows tomatoes in the courtyard,5.593875
/srv/scratch/chacmod/OGI/speech/scripted/00/0/ks001/ks0015j0.wav,will you sing this song,5.13875
/srv/scratch/chacmod/OGI/speech/scripted/00/0/ks001/ks0015m0.wav,they put my computer next to the books,7.662125
/srv/scratch/chacmod/OGI/speech/scripted/00/0/ks001/ks0015x0.wav,i collect stamps from vietnam,6.09525
/srv/scratch/chacmod/OGI/speech/scripted/00/0/ks001/ks001660.wav,matthew has a horse from the desert,6.5956875
/srv/scratch/chacmod/OGI/speech/scripted/00/0/ks001/ks0016f0.wav,we watched television during dinner,6.60125
/srv/scratch/chacmod/OGI/speech/scripted/00/0/ks001/ks001760.wav,spoons,3.15575
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks006/ks006020.wav,announce,4.597625
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks006/ks006070.wav,awesome,3.1545625
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks006/ks0060c0.wav,bigfoot,3.590375
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks006/ks0060h0.wav,bronco,3.1548125
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks006/ks0060m0.wav,chewy,3.5905
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks006/ks0060r0.wav,concept,3.5908125
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks006/ks0060w0.wav,cultures,2.2549375
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks006/ks006110.wav,direct,2.6136875
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks006/ks006160.wav,employees,4.091625
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks006/ks0061b0.wav,faithful,3.5905
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks006/ks0061g0.wav,four,2.074875
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks006/ks0061l0.wav,hardship,3.1553125
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks006/ks0061q0.wav,hopeful,2.61525
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks006/ks0061v0.wav,interrupt,3.156
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks006/ks006200.wav,lengthen,3.5906875
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks006/ks006250.wav,lumberyard,3.5909375
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks006/ks0062a0.wav,microwaves,3.1551875
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks006/ks0062f0.wav,mouths,4.0918125
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks006/ks0062k0.wav,normal,3.155
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks006/ks0062z0.wav,objected,2.8593125
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks006/ks0063h0.wav,push,3.1549375
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks006/ks006500.wav,the flood took a car down the street,6.590875
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks006/ks006590.wav,don't think about it too much,5.5936875
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks006/ks0065a0.wav,i hope the airplane will get higher,6.095
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks006/ks0065b0.wav,our tent can hold six people,4.598375
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks006/ks0065c0.wav,give keith a moment to think,6.0945625
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks006/ks0065e0.wav,will you please bathe,5.593875
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks006/ks0065f0.wav,put the key in the key hole,5.1380625
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks006/ks0065g0.wav,take off your hat please,5.1393125
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks006/ks0065i0.wav,we had a birds eye view,4.5979375
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks006/ks0065j0.wav,will you sing this song,5.1380625
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks006/ks0065k0.wav,buying the ring took all of my money,6.59525
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks006/ks0065l0.wav,why is the earth inside the milky way,7.1214375
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks006/ks006760.wav,spoons,3.15525
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00d/ks00d350.wav,overalls,2.6261875
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00d/ks00d3a0.wav,payouts,2.6265625
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00d/ks00d3f0.wav,points,2.0885
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00d/ks00d3h0.wav,push,3.1663125
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00d/ks00d3l0.wav,represents,3.1563125
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00d/ks00d3q0.wav,scallywag,3.1558125
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00d/ks00d500.wav,the flood took a car down the street,6.601625
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00d/ks00d5j0.wav,will you sing this song,5.1388125
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00d/ks00d650.wav,i have ice cream for you,6.1053125
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00d/ks00d670.wav,the car went too fast,5.1389999999999985
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00d/ks00d680.wav,i'll rent an apartment tomorrow,5.1495625
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00d/ks00d690.wav,i thought i heard new voices,4.6085
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00d/ks00d6a0.wav,go inside and eat your dinner,5.1600625
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00d/ks00d6b0.wav,search in between the couch cushions,6.6019375
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00d/ks00d6c0.wav,i'm ready to go home,5.1394375
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00d/ks00d6d0.wav,the flea chased the dog,3.5913125
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00d/ks00d6g0.wav,my clothes are wet from the rain,5.594375
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00d/ks00d6i0.wav,the zebra entered the brush with care,6.0955
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00d/ks00d6p0.wav,seven,1.588125
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00d/ks00d6u0.wav,shoe,2.615125
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00d/ks00d6z0.wav,smashed,2.615125
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00d/ks00d740.wav,sour,3.59
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00d/ks00d760.wav,spoons,3.156
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00d/ks00d7a0.wav,steakhouse,2.615125
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00d/ks00d7f0.wav,studio,3.5914375
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00d/ks00d7k0.wav,super,3.5913125
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00d/ks00d7p0.wav,temptation,4.6094375
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00d/ks00d7u0.wav,three,3.1559375
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00d/ks00d7z0.wav,tourists,3.1565
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00d/ks00d840.wav,truck,3.165875
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00d/ks00d890.wav,unroll,2.259125
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00d/ks00d8e0.wav,vaulted,2.087625
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00d/ks00d8j0.wav,wavelet,4.6096875
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00d/ks00d8o0.wav,women,2.61575
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00d/ks00d8t0.wav,yields,2.61575
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00e/ks00e350.wav,overalls,2.6263125
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00e/ks00e3a0.wav,payouts,2.6356875
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00e/ks00e3f0.wav,points,2.08825
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00e/ks00e3h0.wav,push,3.15725
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00e/ks00e3l0.wav,represents,3.1670625
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00e/ks00e3q0.wav,scallywag,3.1565625
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00e/ks00e500.wav,the flood took a car down the street,6.61225
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00e/ks00e5j0.wav,will you sing this song,5.1705625
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00e/ks00e650.wav,i have ice cream for you,6.095375
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00e/ks00e670.wav,the car went too fast,5.1399375
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00e/ks00e680.wav,i'll rent an apartment tomorrow,5.16
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00e/ks00e690.wav,i thought i heard new voices,4.609875
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00e/ks00e6a0.wav,go inside and eat your dinner,5.1498125
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00e/ks00e6b0.wav,search in between the couch cushions,6.603125
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00e/ks00e6c0.wav,i'm ready to go home,5.1493125
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00e/ks00e6d0.wav,the flea chased the dog,3.5914375
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00e/ks00e6g0.wav,my clothes are wet from the rain,5.593
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00e/ks00e6i0.wav,the zebra entered the brush with care,6.094375
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00e/ks00e6p0.wav,seven,1.587875
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00e/ks00e6u0.wav,shoe,2.616125
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00e/ks00e6z0.wav,smashed,2.6158125
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00e/ks00e740.wav,sour,3.5913125
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00e/ks00e760.wav,spoons,3.166875
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00e/ks00e7a0.wav,steakhouse,2.6159375
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00e/ks00e7f0.wav,studio,3.5906875
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00e/ks00e7k0.wav,super,3.5915
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00e/ks00e7p0.wav,temptation,4.59925
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00e/ks00e7u0.wav,three,3.1566875
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00e/ks00e7z0.wav,tourists,3.1563125
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00e/ks00e840.wav,truck,3.1575
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00e/ks00e890.wav,unroll,2.2568125
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00e/ks00e8e0.wav,vaulted,2.0878125
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00e/ks00e8j0.wav,wavelet,4.609375
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00e/ks00e8o0.wav,women,2.6155625
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks00e/ks00e8t0.wav,yields,2.6155625
/srv/scratch/chacmod/OGI/speech/scripted/00/5/ks00t/ks00t340.wav,organizations,4.5988125
/srv/scratch/chacmod/OGI/speech/scripted/00/5/ks00t/ks00t390.wav,pathfinder,2.095375
/srv/scratch/chacmod/OGI/speech/scripted/00/5/ks00t/ks00t3e0.wav,playoffs,2.6156875
/srv/scratch/chacmod/OGI/speech/scripted/00/5/ks00t/ks00t3h0.wav,push,3.154625
/srv/scratch/chacmod/OGI/speech/scripted/00/5/ks00t/ks00t3k0.wav,red,2.087875
/srv/scratch/chacmod/OGI/speech/scripted/00/5/ks00t/ks00t3p0.wav,safeway,2.088125
/srv/scratch/chacmod/OGI/speech/scripted/00/5/ks00t/ks00t3u0.wav,seizure,1.7873125
/srv/scratch/chacmod/OGI/speech/scripted/00/5/ks00t/ks00t500.wav,the flood took a car down the street,6.595375
/srv/scratch/chacmod/OGI/speech/scripted/00/5/ks00t/ks00t5j0.wav,will you sing this song,5.1385
/srv/scratch/chacmod/OGI/speech/scripted/00/5/ks00t/ks00t5n0.wav,i like my meat on a cold platter,7.1224375
/srv/scratch/chacmod/OGI/speech/scripted/00/5/ks00t/ks00t5o0.wav,are zebras just striped horses,7.662625
/srv/scratch/chacmod/OGI/speech/scripted/00/5/ks00t/ks00t5p0.wav,pass their notes along,5.1389999999999985
/srv/scratch/chacmod/OGI/speech/scripted/00/5/ks00t/ks00t5q0.wav,will beets stain my pants,5.1383125
/srv/scratch/chacmod/OGI/speech/scripted/00/5/ks00t/ks00t5s0.wav,are you sure this is okay,6.09475
/srv/scratch/chacmod/OGI/speech/scripted/00/5/ks00t/ks00t5t0.wav,please offer them a dinner mint,6.09475
/srv/scratch/chacmod/OGI/speech/scripted/00/5/ks00t/ks00t5u0.wav,could lizards ever talk,5.13875
/srv/scratch/chacmod/OGI/speech/scripted/00/5/ks00t/ks00t5v0.wav,you can see bugs light up the sky,7.122000000000001
/srv/scratch/chacmod/OGI/speech/scripted/00/5/ks00t/ks00t6e0.wav,the rain chased the dirt down the drain,5.5940625
/srv/scratch/chacmod/OGI/speech/scripted/00/5/ks00t/ks00t6h0.wav,the speaker boomed from the car,4.091875
/srv/scratch/chacmod/OGI/speech/scripted/00/5/ks00t/ks00t6t0.wav,shock,2.088
/srv/scratch/chacmod/OGI/speech/scripted/00/5/ks00t/ks00t6y0.wav,slogan,2.075875
/srv/scratch/chacmod/OGI/speech/scripted/00/5/ks00t/ks00t730.wav,soften,3.5910625
/srv/scratch/chacmod/OGI/speech/scripted/00/5/ks00t/ks00t760.wav,spoons,3.1546875
/srv/scratch/chacmod/OGI/speech/scripted/00/5/ks00t/ks00t790.wav,starve,2.08825
/srv/scratch/chacmod/OGI/speech/scripted/00/5/ks00t/ks00t7j0.wav,suggest,1.978375
/srv/scratch/chacmod/OGI/speech/scripted/00/5/ks00t/ks00t7o0.wav,technology,3.1573125
/srv/scratch/chacmod/OGI/speech/scripted/00/5/ks00t/ks00t7t0.wav,thousand,3.591
/srv/scratch/chacmod/OGI/speech/scripted/00/5/ks00t/ks00t7y0.wav,toothpaste,3.1573125
/srv/scratch/chacmod/OGI/speech/scripted/00/5/ks00t/ks00t830.wav,treasure,1.7133125
/srv/scratch/chacmod/OGI/speech/scripted/00/5/ks00t/ks00t880.wav,unfortunate,3.590875
/srv/scratch/chacmod/OGI/speech/scripted/00/5/ks00t/ks00t8d0.wav,vase,3.156125
/srv/scratch/chacmod/OGI/speech/scripted/00/5/ks00t/ks00t8i0.wav,wash,2.614375
/srv/scratch/chacmod/OGI/speech/scripted/00/5/ks00t/ks00t8n0.wav,withdrawn,2.6145625
/srv/scratch/chacmod/OGI/speech/scripted/00/5/ks00t/ks00t8s0.wav,yellow,1.5876875
/srv/scratch/chacmod/OGI/speech/scripted/00/2/ks010/ks010010.wav,allowing,3.5911875
/srv/scratch/chacmod/OGI/speech/scripted/00/2/ks010/ks010060.wav,average,3.5909375
/srv/scratch/chacmod/OGI/speech/scripted/00/2/ks010/ks0100b0.wav,beyond,3.1560625
/srv/scratch/chacmod/OGI/speech/scripted/00/2/ks010/ks0100g0.wav,breath,3.1574375
/srv/scratch/chacmod/OGI/speech/scripted/00/2/ks010/ks0100l0.wav,chalk,2.617125
/srv/scratch/chacmod/OGI/speech/scripted/00/2/ks010/ks0100q0.wav,cliffhanger,3.090125
/srv/scratch/chacmod/OGI/speech/scripted/00/2/ks010/ks0100v0.wav,cross,4.0919375
/srv/scratch/chacmod/OGI/speech/scripted/00/2/ks010/ks010100.wav,digested,2.6153125
/srv/scratch/chacmod/OGI/speech/scripted/00/2/ks010/ks010150.wav,eight,3.590375
/srv/scratch/chacmod/OGI/speech/scripted/00/2/ks010/ks0101a0.wav,explosion,2.08775
/srv/scratch/chacmod/OGI/speech/scripted/00/2/ks010/ks0101f0.wav,flagpole,3.156
/srv/scratch/chacmod/OGI/speech/scripted/00/2/ks010/ks0101k0.wav,handshake,4.091875
/srv/scratch/chacmod/OGI/speech/scripted/00/2/ks010/ks0101p0.wav,hoof,2.0876875
/srv/scratch/chacmod/OGI/speech/scripted/00/2/ks010/ks0101u0.wav,imagery,3.1569375
/srv/scratch/chacmod/OGI/speech/scripted/00/2/ks010/ks0101z0.wav,lawyer,2.6149375
/srv/scratch/chacmod/OGI/speech/scripted/00/2/ks010/ks010240.wav,loyal,3.6010000000000004
/srv/scratch/chacmod/OGI/speech/scripted/00/2/ks010/ks010290.wav,meaningless,3.5910625
/srv/scratch/chacmod/OGI/speech/scripted/00/2/ks010/ks0102e0.wav,moisture,2.6159375
/srv/scratch/chacmod/OGI/speech/scripted/00/2/ks010/ks0102j0.wav,nine,4.0921875
/srv/scratch/chacmod/OGI/speech/scripted/00/2/ks010/ks0102y0.wav,oasis,3.1561875
/srv/scratch/chacmod/OGI/speech/scripted/00/2/ks010/ks0103h0.wav,push,3.155875
/srv/scratch/chacmod/OGI/speech/scripted/00/2/ks010/ks0104m0.wav,pay albert for the fresh water,5.5944375
/srv/scratch/chacmod/OGI/speech/scripted/00/2/ks010/ks0104n0.wav,the briefcase is open now,5.6035
/srv/scratch/chacmod/OGI/speech/scripted/00/2/ks010/ks0104o0.wav,san diego is very green this year,8.088375
/srv/scratch/chacmod/OGI/speech/scripted/00/2/ks010/ks0104p0.wav,the angry chef cooked his vegetables,6.0954375
/srv/scratch/chacmod/OGI/speech/scripted/00/2/ks010/ks0104q0.wav,edgar does not have a job,6.5918125
/srv/scratch/chacmod/OGI/speech/scripted/00/2/ks010/ks0104r0.wav,you can save water in your bathtub,7.12425
/srv/scratch/chacmod/OGI/speech/scripted/00/2/ks010/ks0104s0.wav,who will the soldier vote for,6.0954375
/srv/scratch/chacmod/OGI/speech/scripted/00/2/ks010/ks0104t0.wav,turn the volume on the radio down,6.591375
/srv/scratch/chacmod/OGI/speech/scripted/00/2/ks010/ks0104u0.wav,stewart has five friends in richmond,6.5938125
/srv/scratch/chacmod/OGI/speech/scripted/00/2/ks010/ks0104w0.wav,doug thinks he will win the race,6.0954375
/srv/scratch/chacmod/OGI/speech/scripted/00/2/ks010/ks010500.wav,the flood took a car down the street,6.6010625
/srv/scratch/chacmod/OGI/speech/scripted/00/2/ks010/ks0105j0.wav,will you sing this song,5.1401875
/srv/scratch/chacmod/OGI/speech/scripted/00/2/ks010/ks010760.wav,spoons,3.156125
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks016/ks016020.wav,announce,4.5988125
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks016/ks016070.wav,awesome,3.1555
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks016/ks0160c0.wav,bigfoot,3.590125
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks016/ks0160h0.wav,bronco,3.1566875
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks016/ks0160m0.wav,chewy,3.591125
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks016/ks0160r0.wav,concept,3.6013125
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks016/ks0160w0.wav,cultures,2.2565625
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks016/ks016110.wav,direct,2.6193125
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks016/ks016160.wav,employees,4.0916875
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks016/ks0161b0.wav,faithful,3.5913125
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks016/ks0161g0.wav,four,2.076125
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks016/ks0161l0.wav,hardship,3.1573125
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks016/ks0161q0.wav,hopeful,2.615375
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks016/ks0161v0.wav,interrupt,3.158
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks016/ks016200.wav,lengthen,3.58775
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks016/ks016250.wav,lumberyard,3.5904375
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks016/ks0162a0.wav,microwaves,3.089625
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks016/ks0162f0.wav,mouths,4.0920625
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks016/ks0162k0.wav,normal,3.1578125
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks016/ks0162z0.wav,objected,2.860125
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks016/ks0163h0.wav,push,3.1685625
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks016/ks016500.wav,the flood took a car down the street,6.593375
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks016/ks016590.wav,don't think about it too much,5.594125
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks016/ks0165a0.wav,i hope the airplane will get higher,6.095375
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks016/ks0165b0.wav,our tent can hold six people,4.61025
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks016/ks0165c0.wav,give keith a moment to think,6.095625
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks016/ks0165e0.wav,will you please bathe,5.595125
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks016/ks0165f0.wav,put the key in the key hole,5.159625
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks016/ks0165g0.wav,take off your hat please,5.15975
