filepath,transcription_clean
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/990596/myst_990596_2010-09-04_00-00-00_MS_2.2/myst_990596_2010-09-04_00-00-00_MS_2.2_024.wav,well i found out it's over one thousand kilograms so you're g gonna have
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/007082/myst_007082_2014-04-24_09-09-48_EE_2.3/myst_007082_2014-04-24_09-09-48_EE_2.3_003.wav,need to they need a parallel circuit to work
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/013018/myst_013018_2014-05-28_13-39-07_LS_3.3/myst_013018_2014-05-28_13-39-07_LS_3.3_017.wav,i think it's so important because if we didn't switch gases with plants we wouldn't be able to breathe
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/013020/myst_013020_2014-05-22_12-58-55_LS_2.3/myst_013020_2014-05-22_12-58-55_LS_2.3_004.wav,we've been learning about this yeast before and we've been this part of sort of been like animal too
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/995736/myst_995736_2011-17-02_00-00-00_ME_2.3/myst_995736_2011-17-02_00-00-00_ME_2.3_012.wav,when you add an insulator to it it's the motor is not gonna turn or the light bulb's not gonna light up
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/013033/myst_013033_2014-05-22_12-36-14_LS_2.3/myst_013033_2014-05-22_12-36-14_LS_2.3_044.wav,stomach breaks down the food to even smaller pieces
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/007232/myst_007232_2014-11-21_10-50-01_MX_4.2/myst_007232_2014-11-21_10-50-01_MX_4.2_008.wav,the chemicals
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/990597/myst_990597_2010-16-04_00-00-00_MS_4.1/myst_990597_2010-16-04_00-00-00_MS_4.1_031.wav,the little circle is about it stands for degrees like five degrees one hundred degrees fifty five degrees and twenty degrees
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/013031/myst_013031_2013-11-14_13-53-15_EE_1.1/myst_013031_2013-11-14_13-53-15_EE_1.1_002.wav,electricity and electromagnetism
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/990502/myst_990502_2010-10-02_00-00-00_WA_3.3/myst_990502_2010-10-02_00-00-00_WA_3.3_009.wav,evaporation is happening
