filepath,transcription_clean
/srv/scratch/chacmod/OGI/speech/scripted/00/0/ks03g/ks03g5m0.wav,they put my computer next to the books
/srv/scratch/chacmod/OGI/speech/scripted/00/0/ks03g/ks03g3v0.wav,the young emperor could not spell
/srv/scratch/chacmod/OGI/speech/scripted/00/0/ksb3e/ksb3e1e0.wav,five
/srv/scratch/chacmod/OGI/speech/scripted/00/0/ksb3e/ksb3e1y0.wav,kingpin
/srv/scratch/chacmod/OGI/speech/scripted/00/0/ks037/ks0373i0.wav,ragtime
/srv/scratch/chacmod/OGI/speech/scripted/00/0/ks037/ks0378l0.wav,white
/srv/scratch/chacmod/OGI/speech/scripted/00/0/ks037/ks0371o0.wav,homemaking
/srv/scratch/chacmod/OGI/speech/scripted/00/0/ks037/ks0370p0.wav,civilized
/srv/scratch/chacmod/OGI/speech/scripted/00/0/ks037/ks037710.wav,smoothly
/srv/scratch/chacmod/OGI/speech/scripted/00/0/ks037/ks0374j0.wav,fred didn't try the carrot juice
/srv/scratch/chacmod/OGI/speech/scripted/00/0/ks037/ks0377w0.wav,thrower
/srv/scratch/chacmod/OGI/speech/scripted/00/0/ks037/ks037190.wav,ethnic
/srv/scratch/chacmod/OGI/speech/scripted/00/0/ks037/ks0374f0.wav,people like to sing in cairo
/srv/scratch/chacmod/OGI/speech/scripted/00/0/ks037/ks0370u0.wav,crenshaw
/srv/scratch/chacmod/OGI/speech/scripted/00/0/ks037/ks037500.wav,the flood took a car down the street
/srv/scratch/chacmod/OGI/speech/scripted/00/0/ks037/ks0372o0.wav,one zero zero three zero seven eight
/srv/scratch/chacmod/OGI/speech/scripted/00/0/ks037/ks037540.wav,grandmother played football last year
/srv/scratch/chacmod/OGI/speech/scripted/00/0/ks037/ks0373v0.wav,the young emperor could not spell
/srv/scratch/chacmod/OGI/speech/scripted/00/0/ks037/ks0372q0.wav,two eight one seven three nine two
/srv/scratch/chacmod/OGI/speech/scripted/00/0/ks037/ks0374g0.wav,unplug the toaster if it gets hot
