recordingID,filepath,transcription_original,transcription_clean,has_audio_file,has_speech_in_audio,usable,duration,set
1040102_en_22_20_103,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017eval/en_22_20_103/1040102_en_22_20_103.wav,@voice ,<unk>,True,False,False,15.0726875,ignore
1040102_en_22_20_104,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017eval/en_22_20_104/1040102_en_22_20_104.wav,@voice ,<unk>,True,False,False,15.0726875,ignore
2010206_en_5_7_100,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017eval/en_5_7_100/2010206_en_5_7_100.wav,@breath @breath ,,True,False,False,7.008,ignore
2010302_en_5_7_104,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017eval/en_5_7_104/2010302_en_5_7_104.wav,@cough ,,True,False,False,7.008,ignore
2010321_en_5_7_101,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017eval/en_5_7_101/2010321_en_5_7_101.wav,(@it(non lo so)) ,<unk>,True,False,False,7.008,ignore
2010321_en_6_8_100,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017eval/en_6_8_100/2010321_en_6_8_100.wav,@breath @it(ehi samuele hai finito l'esercizio) @laugh ,<unk>,True,False,False,10.008,ignore
2010321_en_6_8_101,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017eval/en_6_8_101/2010321_en_6_8_101.wav,@ns @it(boh) ,<unk>,True,False,False,10.008,ignore
2020105_en_5_7_103,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017eval/en_5_7_103/2020105_en_5_7_103.wav,@bkg @voice ,<unk>,True,False,False,7.008,ignore
2020112_en_6_8_100,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017eval/en_6_8_100/2020112_en_6_8_100.wav,@breath @voice @breath @ns ,<unk>,True,False,False,10.0571875,ignore
2020118_en_5_7_104,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017eval/en_5_7_104/2020118_en_5_7_104.wav,@voice ,<unk>,True,False,False,6.97475,ignore
2020118_en_6_8_104,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017eval/en_6_8_104/2020118_en_6_8_104.wav,@voice ,<unk>,True,False,False,10.0571875,ignore
2020202_en_6_8_103,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017eval/en_6_8_103/2020202_en_6_8_103.wav,@breath @voice ,<unk>,True,False,False,10.08,ignore
2020202_en_6_8_104,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017eval/en_6_8_104/2020202_en_6_8_104.wav,@breath @voice ,<unk>,True,False,False,10.008,ignore
2020211_en_5_7_100,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017eval/en_5_7_100/2020211_en_5_7_100.wav,@breath ,,True,False,False,7.0791875,ignore
2020211_en_5_7_103,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017eval/en_5_7_103/2020211_en_5_7_103.wav,@breath ,,True,False,False,7.0791875,ignore
2020302_en_5_7_101,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017eval/en_5_7_101/2020302_en_5_7_101.wav,@it(ma che) @breath ,<unk>,True,False,False,7.104,ignore
2030112_en_5_7_100,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge/audio/TLT2017eval/en_5_7_100/2030112_en_5_7_100.wav,@voice ,<unk>,True,False,False,7.008,ignore
