filepath,transcription_clean,prediction
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb0p/ksb0p220.wav,lifeboats,noif pos
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb0p/ksb0p400.wav,greet me with open arms, ne so fin oy
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb0p/ksb0p040.wav,aspire,ol he
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb0p/ksb0p310.wav,obvious,i fly
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb0p/ksb0p6n0.wav,i'm sorry the dog ate your dinner,tham son i dot det le demly
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb0p/ksb0p0t0.wav,cowboys,he hells
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb0p/ksb0p130.wav,earthquake,eiht grat
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb0p/ksb0p3y0.wav,you didn't arrive too late,indeed hin alloyv to lake
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb0p/ksb0p6j0.wav,we gathered sticks for the fire,le cant ee dispics fete sory
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb0p/ksb0p0j0.wav,cautiously,was he seed
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb0p/ksb0p2h0.wav,mutual,me wol
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb0p/ksb0p6l0.wav,my sleeve caught the thorny bush,is se cut fist noiewraps
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb0p/ksb0p1d0.wav,female,she mel
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb0p/ksb0p500.wav,the flood took a car down the street,saide slad take care coy dan this eneat
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb0p/ksb0p6o0.wav,someone bought a beautiful ring for you,some one had blite to paidefulln ee
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb0p/ksb0p760.wav,spoons,m
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb0p/ksb0p3z0.wav,five people can fit in the elevator,shight people can feat in the erlor fady
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb0p/ksb0p0y0.wav,depths,t
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb0p/ksb0p180.wav,engrave,in lay
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb0p/ksb0p090.wav,bathe,an 
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb0p/ksb0p6k0.wav,santa deemed rudolph the leader, sante dee hane idoft in
