wav_filename,wav_filesize,transcript
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/990596/myst_990596_2010-09-04_00-00-00_MS_2.2/myst_990596_2010-09-04_00-00-00_MS_2.2_024.wav,241420,well i found out it's over one thousand kilograms so you're g gonna have
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/007082/myst_007082_2014-04-24_09-09-48_EE_2.3/myst_007082_2014-04-24_09-09-48_EE_2.3_003.wav,133692,need to they need a parallel circuit to work
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/013018/myst_013018_2014-05-28_13-39-07_LS_3.3/myst_013018_2014-05-28_13-39-07_LS_3.3_017.wav,288282,i think it's so important because if we didn't switch gases with plants we wouldn't be able to breathe
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/013020/myst_013020_2014-05-22_12-58-55_LS_2.3/myst_013020_2014-05-22_12-58-55_LS_2.3_004.wav,242874,we've been learning about this yeast before and we've been this part of sort of been like animal too
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/995736/myst_995736_2011-17-02_00-00-00_ME_2.3/myst_995736_2011-17-02_00-00-00_ME_2.3_012.wav,237548,when you add an insulator to it it's the motor is not gonna turn or the light bulb's not gonna light up
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/013033/myst_013033_2014-05-22_12-36-14_LS_2.3/myst_013033_2014-05-22_12-36-14_LS_2.3_044.wav,121660,stomach breaks down the food to even smaller pieces
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/007232/myst_007232_2014-11-21_10-50-01_MX_4.2/myst_007232_2014-11-21_10-50-01_MX_4.2_008.wav,97202,the chemicals
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/990597/myst_990597_2010-16-04_00-00-00_MS_4.1/myst_990597_2010-16-04_00-00-00_MS_4.1_031.wav,456748,the little circle is about it stands for degrees like five degrees one hundred degrees fifty five degrees and twenty degrees
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/013031/myst_013031_2013-11-14_13-53-15_EE_1.1/myst_013031_2013-11-14_13-53-15_EE_1.1_002.wav,110764,electricity and electromagnetism
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/990502/myst_990502_2010-10-02_00-00-00_WA_3.3/myst_990502_2010-10-02_00-00-00_WA_3.3_009.wav,460044,evaporation is happening
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/013048/myst_013048_2014-04-30_12-23-14_LS_2.1/myst_013048_2014-04-30_12-23-14_LS_2.1_062.wav,171104,um by animals that make their own food
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/013011/myst_013011_2014-05-22_12-20-30_LS_3.3/myst_013011_2014-05-22_12-20-30_LS_3.3_024.wav,110606,by breathing and the lungs
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/002294/myst_002294_2015-03-10_11-56-35_LS_1.1/myst_002294_2015-03-10_11-56-35_LS_1.1_002.wav,94538,what she said
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/007240/myst_007240_2014-11-19_10-58-29_MX_3.1/myst_007240_2014-11-19_10-58-29_MX_3.1_004.wav,51044,it's clear
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/014022/myst_014022_2014-01-13_14-03-06_MX_2.1/myst_014022_2014-01-13_14-03-06_MX_2.1_015.wav,99022,one is more dilute and one is more concentrate
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/990042/myst_990042_2008-30-04_00-00-00_MS_1.3/myst_990042_2008-30-04_00-00-00_MS_1.3_050.wav,89964,i don't really know i don't remember
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/002267/myst_002267_2015-04-21_08-04-18_LS_3.1/myst_002267_2015-04-21_08-04-18_LS_3.1_005.wav,277896,this is a palmate leaf because all the veins are going out and out and out just like a hand
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/013021/myst_013021_2014-04-22_13-58-20_LS_1.3/myst_013021_2014-04-22_13-58-20_LS_1.3_018.wav,82798,we've been learning about ecosystem living
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/990042/myst_990042_2008-14-05_00-00-00_MS_4.1/myst_990042_2008-14-05_00-00-00_MS_4.1_116.wav,15052,yeah
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/002122/myst_002122_2014-02-28_13-19-06_LS_1.1/myst_002122_2014-02-28_13-19-06_LS_1.1_026.wav,127176,they have to do with like the subsystems of the earth
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/995734/myst_995734_2011-23-02_00-00-00_ME_3.1/myst_995734_2011-23-02_00-00-00_ME_3.1_016.wav,233996,marnie you asked me that question in a different way like a minute ago
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/014020/myst_014020_2013-12-12_12-52-58_MX_1.1/myst_014020_2013-12-12_12-52-58_MX_1.1_028.wav,21044,not these
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/013013/myst_013013_2014-05-28_09-28-08_LS_4.2/myst_013013_2014-05-28_09-28-08_LS_4.2_007.wav,158760,one is looking one is making stinky smells and one is
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/018210/myst_018210_2014-11-04_08-56-02_LS_2.3/myst_018210_2014-11-04_08-56-02_LS_2.3_008.wav,105482,they that they are very
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/002113/myst_002113_2014-04-18_11-41-54_LS_3.3/myst_002113_2014-04-18_11-41-54_LS_3.3_018.wav,112638,that would probably be oxygen
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/993766/myst_993766_2011-04-03_00-00-00_VB_3.4/myst_993766_2011-04-03_00-00-00_VB_3.4_021.wav,103340,i don't understand
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/004027/myst_004027_2013-12-03_09-50-32_EE_1.4/myst_004027_2013-12-03_09-50-32_EE_1.4_007.wav,216626,i think the candle is burning because the wick is burning i noticed it's a <unk>
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/013018/myst_013018_2014-05-28_11-17-35_LS_4.1/myst_013018_2014-05-28_11-17-35_LS_4.1_010.wav,61264,no
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/993207/myst_993207_2008-02-10_00-00-00_VB_1.3/myst_993207_2008-02-10_00-00-00_VB_1.3_076.wav,193228,yeah because the only thing that changed how many times it swung was the length that's the only thing
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/008051/myst_008051_2014-04-17_10-57-20_EE_2.3/myst_008051_2014-04-17_10-57-20_EE_2.3_016.wav,467260,the four types of work because um it's a first because um ah there getting energy has and then the light bulb
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/008064/myst_008064_2014-05-01_08-57-21_EE_4.2/myst_008064_2014-05-01_08-57-21_EE_4.2_028.wav,23044,i
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/996431/myst_996431_2009-04-09_00-00-00_VB_1.2/myst_996431_2009-04-09_00-00-00_VB_1.2_002.wav,24268,good
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/013064/myst_013064_2013-12-05_12-56-30_EE_1.4/myst_013064_2013-12-05_12-56-30_EE_1.4_022.wav,147778,well it's better than gasoline but it will also make energy
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/013021/myst_013021_2014-04-23_14-02-37_LS_2.1/myst_013021_2014-04-23_14-02-37_LS_2.1_050.wav,110384,this plant has all the resources it needs
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/007204/myst_007204_2014-10-13_08-18-04_MX_2.2/myst_007204_2014-10-13_08-18-04_MX_2.2_004.wav,36044,yeah
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/007240/myst_007240_2015-04-16_13-43-48_LS_3.3/myst_007240_2015-04-16_13-43-48_LS_3.3_016.wav,114426,letter u
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/013011/myst_013011_2014-05-23_13-31-53_LS_4.1/myst_013011_2014-05-23_13-31-53_LS_4.1_003.wav,37044,about the nervous system
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/002118/myst_002118_2014-02-28_12-59-04_LS_1.1/myst_002118_2014-02-28_12-59-04_LS_1.1_006.wav,425988,i think there are many parts of the engine that are moving causing the car to go forward or accelerate it so that it can move and won't stop unless you push the brake
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/007081/myst_007081_2014-02-04_13-15-58_EE_1.1/myst_007081_2014-02-04_13-15-58_EE_1.1_030.wav,342248,if focus by the battery in the battery release it's all it's energy just light of the light bulb and a make it work but if it doesn't work then the light bulb is out of power
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/007232/myst_007232_2014-11-21_10-50-01_MX_4.2/myst_007232_2014-11-21_10-50-01_MX_4.2_018.wav,48812,it's a product
