record_id_wav,record_id_text
1010101_en_21_19_100,1010101_en_21_19_100	@ns
1010102_en_21_19_100,1010102_en_21_19_100	hello
1010102_en_22_20_100,1010102_en_22_20_100	@voice
1010102_en_22_20_101,1010102_en_22_20_101	
1010102_en_22_20_102,1010102_en_22_20_102	@voice
1010102_en_22_20_103,1010102_en_22_20_103	i
1010102_en_22_20_104,1010102_en_22_20_104	@e
1010104_en_22_20_100,1010104_en_22_20_100	i
1010104_en_22_20_101,1010104_en_22_20_101	
1010104_en_22_20_102,1010104_en_22_20_102	my
1010104_en_22_20_103,1010104_en_22_20_103	don't
1010104_en_22_20_104,1010104_en_22_20_104	
1010105_en_22_20_100,1010105_en_22_20_100	
1010105_en_22_20_101,1010105_en_22_20_101	
1010105_en_22_20_102,1010105_en_22_20_102	my
1010105_en_22_20_103,1010105_en_22_20_103	
1010105_en_22_20_104,1010105_en_22_20_104	
1010107_en_21_19_100,1010107_en_21_19_100	@bkg
1010107_en_22_20_100,1010107_en_22_20_100	i
1010107_en_22_20_101,1010107_en_22_20_101	i
1010107_en_22_20_102,1010107_en_22_20_102	@e
1010107_en_22_20_103,1010107_en_22_20_103	@em
1010107_en_22_20_104,1010107_en_22_20_104	@em
1010108_en_22_20_100,1010108_en_22_20_100	
1010108_en_22_20_101,1010108_en_22_20_101	@bkg
1010108_en_22_20_102,1010108_en_22_20_102	@bkg
1010108_en_22_20_103,1010108_en_22_20_103	
1010108_en_22_20_104,1010108_en_22_20_104	@voice
1010110_en_21_19_100,1010110_en_21_19_100	@sil
1010110_en_22_20_100,1010110_en_22_20_100	@sil
1010110_en_22_20_101,1010110_en_22_20_101	@sil
1010111_en_21_19_100,1010111_en_21_19_100	@bkg
1010111_en_22_20_100,1010111_en_22_20_100	@sil
1010111_en_22_20_101,1010111_en_22_20_101	@bkg
1010111_en_22_20_102,1010111_en_22_20_102	my
1010111_en_22_20_103,1010111_en_22_20_103	real
1010111_en_22_20_104,1010111_en_22_20_104	@bkg
