recordingID,filepath,transcription_original,transcription_clean,has_audio_file,has_speech_in_audio,usable,duration,set
speakerIp16_A1_001028002002-promptIp16_A1_en_5_54_101,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge2P/audio/TLT1618train/Ip16_A1_en_5_54_101/speakerIp16_A1_001028002002-promptIp16_A1_en_5_54_101.wav,<unk> ,<unk>,True,False,False,7.008,ignore
speakerIp16_A1_001001002012-promptIp16_A1_en_5_54_101,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge2P/audio/TLT1618train/Ip16_A1_en_5_54_101/speakerIp16_A1_001001002012-promptIp16_A1_en_5_54_101.wav,<unk> ,<unk>,True,False,False,7.008,ignore
speakerIp16_A1_001001002018-promptIp16_A1_en_5_54_101,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge2P/audio/TLT1618train/Ip16_A1_en_5_54_101/speakerIp16_A1_001001002018-promptIp16_A1_en_5_54_101.wav,<unk> ,<unk>,True,False,False,7.008,ignore
speakerIp16_A1_001006001005-promptIp16_A1_en_5_54_101,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge2P/audio/TLT1618train/Ip16_A1_en_5_54_101/speakerIp16_A1_001006001005-promptIp16_A1_en_5_54_101.wav,<unk> ,<unk>,True,False,False,6.9746875,ignore
speakerIp16_A1_001030002012-promptIp16_A1_en_5_54_101,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge2P/audio/TLT1618train/Ip16_A1_en_5_54_101/speakerIp16_A1_001030002012-promptIp16_A1_en_5_54_101.wav,<unk> ,<unk>,True,False,False,7.008,ignore
speakerIp16_A1_001025001001-promptIp16_A1_en_5_51_104,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge2P/audio/TLT1618train/Ip16_A1_en_5_51_104/speakerIp16_A1_001025001001-promptIp16_A1_en_5_51_104.wav,<unk> ,<unk>,True,False,False,7.008,ignore
speakerIp16_A1_001036001010-promptIp16_A1_en_5_51_104,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge2P/audio/TLT1618train/Ip16_A1_en_5_51_104/speakerIp16_A1_001036001010-promptIp16_A1_en_5_51_104.wav,<unk> ,<unk>,True,False,False,7.008,ignore
speakerIp16_A1_001040001005-promptIp16_A1_en_5_53_102,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge2P/audio/TLT1618train/Ip16_A1_en_5_53_102/speakerIp16_A1_001040001005-promptIp16_A1_en_5_53_102.wav,<unk> ,<unk>,True,False,False,7.008,ignore
speakerIp16_A2_002025001001-promptIp16_A2_en_22_107_102,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge2P/audio/TLT1618train/Ip16_A2_en_22_107_102/speakerIp16_A2_002025001001-promptIp16_A2_en_22_107_102.wav,@ns <unk> ,<unk>,True,False,False,10.08,ignore
speakerIp18_B1a_003009001010-promptIp18_B1_en_35_28_102,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge2P/audio/TLT1618train/Ip18_B1_en_35_28_102/speakerIp18_B1a_003009001010-promptIp18_B1_en_35_28_102.wav,@uh my favorite book is @uh <unk> of virginia woolf it talk about @uh @um g- @um woman and that @uh where in the second world war and where @um i don't know how to say the where @um the <unk> ,uh my favorite book is uh <unk> of virginia woolf it talk about uh um g um woman and that uh where in the second world war and where um i don't know how to say the where um the <unk>,True,True,True,19.992,ignore
speakerIp18_B1a_003024002003-promptIp18_B1_en_35_28_102,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge2P/audio/TLT1618train/Ip18_B1_en_35_28_102/speakerIp18_B1a_003024002003-promptIp18_B1_en_35_28_102.wav,@uh well my favorite book i don't have a favorite book because i don't @uh really really @uh read so much but @uh i usually prefer to go to the cinema or things like that because books i think it doesn't @uh give you a lot of imagination and things like that ,uh well my favorite book i don't have a favorite book because i don't uh really really uh read so much but uh i usually prefer to go to the cinema or things like that because books i think it doesn't uh give you a lot of imagination and things like that,True,True,True,19.992,ignore
speakerIp18_B1a_003024003002-promptIp18_B1_en_35_28_102,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge2P/audio/TLT1618train/Ip18_B1_en_35_28_102/speakerIp18_B1a_003024003002-promptIp18_B1_en_35_28_102.wav,my favorite book is @uh <unk> jonathan livingston <unk> jonathan livingston is a book who speak about @uh @um a bird who doesn't @uh live like other birds but he love to go really fast with ,my favorite book is uh <unk> jonathan livingston <unk> jonathan livingston is a book who speak about uh um a bird who doesn't uh live like other birds but he love to go really fast with,True,True,True,19.992,ignore
speakerIp18_B1a_003023001023-promptIp18_B1_en_35_28_102,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge2P/audio/TLT1618train/Ip18_B1_en_35_28_102/speakerIp18_B1a_003023001023-promptIp18_B1_en_35_28_102.wav,@uh my favorite book is percy jackson or is <unk> because @uh it's a very fantastic and @um @uh the fantastic @uh fan- @uh it's not @uh real but @uh to speak the god i like @uh greece god and @uh the p- ,uh my favorite book is percy jackson or is <unk> because uh it's a very fantastic and um uh the fantastic uh fan uh it's not uh real but uh to speak the god i like uh greece god and uh the p,True,True,True,19.992,ignore
speakerIp18_B1a_003024002012-promptIp18_B1_en_35_28_102,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge2P/audio/TLT1618train/Ip18_B1_en_35_28_102/speakerIp18_B1a_003024002012-promptIp18_B1_en_35_28_102.wav,my favorite book @uh is @uh harry potter because @uh the story is @uh is long and is @uh a big book and i like very much @uh the bi- the big book like @uh two hundred @uh pages because @uh ,my favorite book uh is uh harry potter because uh the story is uh is long and is uh a big book and i like very much uh the bi the big book like uh two hundred uh pages because uh,True,True,True,19.992,ignore
speakerIp18_B1a_003010003016-promptIp18_B1_en_35_28_102,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge2P/audio/TLT1618train/Ip18_B1_en_35_28_102/speakerIp18_B1a_003010003016-promptIp18_B1_en_35_28_102.wav,my favorite book @uh i don't know i have @uh i have @uh a lot @uh of i i have a lot of favorite books but @uh if i have to choose a book @uh i choose @uh harry potter becau- ,my favorite book uh i don't know i have uh i have uh a lot uh of i i have a lot of favorite books but uh if i have to choose a book uh i choose uh harry potter becau,True,True,True,19.992,ignore
speakerIp18_B1a_003017003008-promptIp18_B1_en_35_28_102,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge2P/audio/TLT1618train/Ip18_B1_en_35_28_102/speakerIp18_B1a_003017003008-promptIp18_B1_en_35_28_102.wav,@uh my favorite book @uh is @uh nineteen eighty-four by george orwell because @uh @uh i like the way that he describes the age of @uh forty-eight and the period that he lived ,uh my favorite book uh is uh nineteen eighty four by george orwell because uh uh i like the way that he describes the age of uh forty eight and the period that he lived,True,True,True,19.992,ignore
speakerIp18_B1a_003001001010-promptIp18_B1_en_35_28_102,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge2P/audio/TLT1618train/Ip18_B1_en_35_28_102/speakerIp18_B1a_003001001010-promptIp18_B1_en_35_28_102.wav,@uh my favorite book is hard to <unk> because @uh i really loved and @uh there are lots of books that i like @um one of my favorites at the moment is <unk> @um four hundred fifty-two i guess and @um i like it because of the message that is sent to the people @um ,uh my favorite book is hard to <unk> because uh i really loved and uh there are lots of books that i like um one of my favorites at the moment is <unk> um four hundred fifty two i guess and um i like it because of the message that is sent to the people um,True,True,True,19.992,ignore
speakerIp18_B1a_003010001001-promptIp18_B1_en_35_28_102,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge2P/audio/TLT1618train/Ip18_B1_en_35_28_102/speakerIp18_B1a_003010001001-promptIp18_B1_en_35_28_102.wav,my favorite book is @uh harry potter i really @uh like the @uh this book because @uh i have a special a special feeling with it i started @uh reading it @uh when i was @uh eleven years old and @uh i like fantasy books and @uh ,my favorite book is uh harry potter i really uh like the uh this book because uh i have a special a special feeling with it i started uh reading it uh when i was uh eleven years old and uh i like fantasy books and uh,True,True,True,20.064,ignore
speakerIp18_B1a_003025001016-promptIp18_B1_en_35_28_102,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge2P/audio/TLT1618train/Ip18_B1_en_35_28_102/speakerIp18_B1a_003025001016-promptIp18_B1_en_35_28_102.wav,my favorite book it's @uh <unk> because @uh there were are there in that book @uh there's my all things that i really like because @uh in this books @uh @uh @uh there is something that @uh i really prefer i i think that that book is my copy ,my favorite book it's uh <unk> because uh there were are there in that book uh there's my all things that i really like because uh in this books uh uh uh there is something that uh i really prefer i i think that that book is my copy,True,True,True,19.9836875,ignore
speakerIp18_B1a_003005002008-promptIp18_B1_en_35_28_102,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge2P/audio/TLT1618train/Ip18_B1_en_35_28_102/speakerIp18_B1a_003005002008-promptIp18_B1_en_35_28_102.wav,@uh my favorite book is @uh the pages of our life from nicholas sparks i like it because it's a romance a <unk> romance and @uh there's lots of love it's very he's very beautiful that @uh writer write very good and it's book it's my favorite one @ns ,uh my favorite book is uh the pages of our life from nicholas sparks i like it because it's a romance a <unk> romance and uh there's lots of love it's very he's very beautiful that uh writer write very good and it's book it's my favorite one,True,True,True,19.9836875,ignore
speakerIp18_B1a_003008002014-promptIp18_B1_en_35_28_102,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge2P/audio/TLT1618train/Ip18_B1_en_35_28_102/speakerIp18_B1a_003008002014-promptIp18_B1_en_35_28_102.wav,favorite book is @uh un soldato bambino of ismael beah this is a story that talk about @uh a young @uh guy @uh that's @uh was <unk> in the in the army to fight in his @uh in his @uh coun- ,favorite book is uh un soldato bambino of ismael beah this is a story that talk about uh a young uh guy uh that's uh was <unk> in the in the army to fight in his uh in his uh coun,True,True,True,20.0881875,ignore
speakerIp18_B1a_003009003003-promptIp18_B1_en_35_28_102,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge2P/audio/TLT1618train/Ip18_B1_en_35_28_102/speakerIp18_B1a_003009003003-promptIp18_B1_en_35_28_102.wav,my favorite book is wonder because i think it's a <unk> and @uh r- it @uh describes @uh @uh <unk> situation and @uh it's very emotional and @um i like it very lot very okay ,my favorite book is wonder because i think it's a <unk> and uh r it uh describes uh uh <unk> situation and uh it's very emotional and um i like it very lot very okay,True,True,True,19.992,ignore
speakerIp18_B1a_003031001011-promptIp18_B1_en_35_28_102,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge2P/audio/TLT1618train/Ip18_B1_en_35_28_102/speakerIp18_B1a_003031001011-promptIp18_B1_en_35_28_102.wav,favorite book is @uh harry potter i pre- i like all the eight harry potter books but my favorite is harry potter and the philosopher's stone because it's the beginning of @uh the this wonderful story and i really love @uh all the books ,favorite book is uh harry potter i pre i like all the eight harry potter books but my favorite is harry potter and the philosopher's stone because it's the beginning of uh the this wonderful story and i really love uh all the books,True,True,True,20.064,ignore
speakerIp18_B1a_003012001012-promptIp18_B1_en_35_28_102,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge2P/audio/TLT1618train/Ip18_B1_en_35_28_102/speakerIp18_B1a_003012001012-promptIp18_B1_en_35_28_102.wav,my favorite book is a love story @uh called <unk> by john green john green because @uh it's a love story and i love love stories i think @uh they are so fantastic and i can @uh imagine my story ,my favorite book is a love story uh called <unk> by john green john green because uh it's a love story and i love love stories i think uh they are so fantastic and i can uh imagine my story,True,True,True,19.992,ignore
speakerIp18_B1a_003002001022-promptIp18_B1_en_35_28_102,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge2P/audio/TLT1618train/Ip18_B1_en_35_28_102/speakerIp18_B1a_003002001022-promptIp18_B1_en_35_28_102.wav,my favorite book is <unk> and it's the story about a boy of my age and i like it so much because it's very interesting to know the story about this boy ,my favorite book is <unk> and it's the story about a boy of my age and i like it so much because it's very interesting to know the story about this boy,True,True,True,20.064,ignore
speakerIp18_B1a_003017002012-promptIp18_B1_en_35_28_102,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge2P/audio/TLT1618train/Ip18_B1_en_35_28_102/speakerIp18_B1a_003017002012-promptIp18_B1_en_35_28_102.wav,my favorite book is @um what ever happened to baby jane it's @uh a thriller and i really love the the story no you know behind everything that you read there is always @um a second truth and a second story so i think it's very very interesting ,my favorite book is um what ever happened to baby jane it's uh a thriller and i really love the the story no you know behind everything that you read there is always um a second truth and a second story so i think it's very very interesting,True,True,True,19.992,ignore
speakerIp18_B1a_003010002019-promptIp18_B1_en_35_28_102,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge2P/audio/TLT1618train/Ip18_B1_en_35_28_102/speakerIp18_B1a_003010002019-promptIp18_B1_en_35_28_102.wav,@uh my favorite book is the <unk> @uh and it's a story of @uh one hundred @uh kids that @uh try to <unk> the air after a nuclear war and i like it because @uh i like to fantasy books @uh because they make you travel with fantasy and also because @uh reality it's kind of boring so ,uh my favorite book is the <unk> uh and it's a story of uh one hundred uh kids that uh try to <unk> the air after a nuclear war and i like it because uh i like to fantasy books uh because they make you travel with fantasy and also because uh reality it's kind of boring so,True,True,True,19.992,ignore
speakerIp18_B1a_003024002023-promptIp18_B1_en_35_28_102,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge2P/audio/TLT1618train/Ip18_B1_en_35_28_102/speakerIp18_B1a_003024002023-promptIp18_B1_en_35_28_102.wav,my favorite book @uh one series and @uh the series name is @uh harry potter and especially my favorite book and harry potter and fear is the first one because they spoke about @uh the harry potter when he was a child and ,my favorite book uh one series and uh the series name is uh harry potter and especially my favorite book and harry potter and fear is the first one because they spoke about uh the harry potter when he was a child and,True,True,True,19.992,ignore
speakerIp18_B1a_003002002009-promptIp18_B1_en_35_28_102,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge2P/audio/TLT1618train/Ip18_B1_en_35_28_102/speakerIp18_B1a_003002002009-promptIp18_B1_en_35_28_102.wav,favorite book is harry potter because i really like fantasy books and harry potter is a really nice fantasy book i read it in two weeks and well i think it it's really cool ,favorite book is harry potter because i really like fantasy books and harry potter is a really nice fantasy book i read it in two weeks and well i think it it's really cool,True,True,True,19.992,ignore
speakerIp18_B1a_003002003008-promptIp18_B1_en_35_28_102,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge2P/audio/TLT1618train/Ip18_B1_en_35_28_102/speakerIp18_B1a_003002003008-promptIp18_B1_en_35_28_102.wav,book is harry potter because i think the plot is really interesting and the <unk> are really well studied i think that the @um @uh shadow <unk> is good too because @uh it tells a good plot too but @uh harry potter is better ,book is harry potter because i think the plot is really interesting and the <unk> are really well studied i think that the um uh shadow <unk> is good too because uh it tells a good plot too but uh harry potter is better,True,True,True,19.992,ignore
speakerIp18_B1a_003024002014-promptIp18_B1_en_35_28_102,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge2P/audio/TLT1618train/Ip18_B1_en_35_28_102/speakerIp18_B1a_003024002014-promptIp18_B1_en_35_28_102.wav,my favorite book is @uh the book of steve jobs that is by walter isaac he's @um he's a book @uh about steve jobs and i like this because he's the history of my famous @uh of the famous person steve jobs and i really like that it so i read that a lot ,my favorite book is uh the book of steve jobs that is by walter isaac he's um he's a book uh about steve jobs and i like this because he's the history of my famous uh of the famous person steve jobs and i really like that it so i read that a lot,True,True,True,20.064,ignore
speakerIp18_B1a_003004001026-promptIp18_B1_en_35_28_102,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge2P/audio/TLT1618train/Ip18_B1_en_35_28_102/speakerIp18_B1a_003004001026-promptIp18_B1_en_35_28_102.wav,my favorite book is trigger trigger is the original title of @uh my favorite book and @um it was written by <unk> @um he's a german writer and @um it is @uh a psychological thriller ,my favorite book is trigger trigger is the original title of uh my favorite book and um it was written by <unk> um he's a german writer and um it is uh a psychological thriller,True,True,True,19.992,ignore
speakerIp18_B1a_003018002002-promptIp18_B1_en_35_28_102,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge2P/audio/TLT1618train/Ip18_B1_en_35_28_102/speakerIp18_B1a_003018002002-promptIp18_B1_en_35_28_102.wav,mm in general my favorite author is @uh stephen king i read @um not all but @uh a big part of his @uh books and i like too much them i think @um reading is so beautiful and my favorite book <unk> ,mm in general my favorite author is uh stephen king i read um not all but uh a big part of his uh books and i like too much them i think um reading is so beautiful and my favorite book <unk>,True,True,True,20.064,ignore
speakerIp18_B1a_003009001003-promptIp18_B1_en_35_28_102,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge2P/audio/TLT1618train/Ip18_B1_en_35_28_102/speakerIp18_B1a_003009001003-promptIp18_B1_en_35_28_102.wav,i do not have a favorite book but @uh i like @uh all @uh adventures and @uh books adventure books and i like them because @uh i would like to have an adventure life too and @uh it's funny to read @uh them ,i do not have a favorite book but uh i like uh all uh adventures and uh books adventure books and i like them because uh i would like to have an adventure life too and uh it's funny to read uh them,True,True,True,20.064,ignore
speakerIp18_B1a_003008002012-promptIp18_B1_en_35_28_102,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge2P/audio/TLT1618train/Ip18_B1_en_35_28_102/speakerIp18_B1a_003008002012-promptIp18_B1_en_35_28_102.wav,my favorite book is @uh <unk> yeah @uh i i h- i have not a favorite book because i read on a kindle that is a portable device who can keep all your books on a a tablet and @uh i-in this @uh kindle i have a lot of book ,my favorite book is uh <unk> yeah uh i i h i have not a favorite book because i read on a kindle that is a portable device who can keep all your books on a a tablet and uh i in this uh kindle i have a lot of book,True,True,True,19.9836875,ignore
speakerIp18_B1a_003031001017-promptIp18_B1_en_35_28_102,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge2P/audio/TLT1618train/Ip18_B1_en_35_28_102/speakerIp18_B1a_003031001017-promptIp18_B1_en_35_28_102.wav,my favorite book is the one @uh it's written by kiera cass and it's a love story and i love love stories it's really @uh interesting and @um romantic and this kind of books is really enjoyed by teenagers like me ,my favorite book is the one uh it's written by kiera cass and it's a love story and i love love stories it's really uh interesting and um romantic and this kind of books is really enjoyed by teenagers like me,True,True,True,20.064,ignore
speakerIp18_B1a_003002002018-promptIp18_B1_en_35_28_102,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge2P/audio/TLT1618train/Ip18_B1_en_35_28_102/speakerIp18_B1a_003002002018-promptIp18_B1_en_35_28_102.wav,@um my favorite book @um is the <unk> biography because @uh it's i love biographies in general because they tell you the story of stories of people the real stories and @uh i like that in parti-particular beca- ,um my favorite book um is the <unk> biography because uh it's i love biographies in general because they tell you the story of stories of people the real stories and uh i like that in parti particular beca,True,True,True,19.992,ignore
speakerIp18_B1a_003022003006-promptIp18_B1_en_35_28_102,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge2P/audio/TLT1618train/Ip18_B1_en_35_28_102/speakerIp18_B1a_003022003006-promptIp18_B1_en_35_28_102.wav,my favorite book is @uh <unk> because @uh eh there is the video game of @uh this book and @uh i love @uh the book and the video game i read it three times the book ,my favorite book is uh <unk> because uh eh there is the video game of uh this book and uh i love uh the book and the video game i read it three times the book,True,True,True,19.992,ignore
speakerIp18_B1a_003019001019-promptIp18_B1_en_35_28_102,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge2P/audio/TLT1618train/Ip18_B1_en_35_28_102/speakerIp18_B1a_003019001019-promptIp18_B1_en_35_28_102.wav,my favorite book is an italian book called <unk> i think it's really important it's @uh about <unk> economy and you can learn a lot of important thing about the cash and of the cash war ,my favorite book is an italian book called <unk> i think it's really important it's uh about <unk> economy and you can learn a lot of important thing about the cash and of the cash war,True,True,True,20.064,ignore
speakerIp18_B1a_003010003010-promptIp18_B1_en_35_28_102,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge2P/audio/TLT1618train/Ip18_B1_en_35_28_102/speakerIp18_B1a_003010003010-promptIp18_B1_en_35_28_102.wav,i don't read @uh i i don't know i don't have a favorite book to but @uh @uh because i don't read so much but if i have to choose a book @uh i will choose harry porter ,i don't read uh i i don't know i don't have a favorite book to but uh uh because i don't read so much but if i have to choose a book uh i will choose harry porter,True,True,True,20.064,ignore
speakerIp18_B1a_003002001002-promptIp18_B1_en_35_28_102,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge2P/audio/TLT1618train/Ip18_B1_en_35_28_102/speakerIp18_B1a_003002001002-promptIp18_B1_en_35_28_102.wav,my favorite book is @uh <unk> is a book about two per- two persons that i love @uh and i like it too much because @uh i like love stories and love in general and i like how he writes ,my favorite book is uh <unk> is a book about two per two persons that i love uh and i like it too much because uh i like love stories and love in general and i like how he writes,True,True,True,19.992,ignore
speakerIp18_B1a_003010001003-promptIp18_B1_en_35_28_102,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge2P/audio/TLT1618train/Ip18_B1_en_35_28_102/speakerIp18_B1a_003010001003-promptIp18_B1_en_35_28_102.wav,my favorite book is @uh a love book a love story @uh it talks about @uh a girl that mee- who meets a man they fell in love with each other and it's a really really good book to read and @uh it @uh cheap and @uh you ,my favorite book is uh a love book a love story uh it talks about uh a girl that mee who meets a man they fell in love with each other and it's a really really good book to read and uh it uh cheap and uh you,True,True,True,19.992,ignore
speakerIp18_B1a_003024001019-promptIp18_B1_en_35_28_102,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge2P/audio/TLT1618train/Ip18_B1_en_35_28_102/speakerIp18_B1a_003024001019-promptIp18_B1_en_35_28_102.wav,i have @uh some favorites book they are <unk> book because @uh they are science fiction book and i love it science fiction book are fantastic in my opinion because they told about the world in @uh in another ,i have uh some favorites book they are <unk> book because uh they are science fiction book and i love it science fiction book are fantastic in my opinion because they told about the world in uh in another,True,True,True,19.9836875,ignore
speakerIp18_B1a_003009001007-promptIp18_B1_en_35_28_102,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge2P/audio/TLT1618train/Ip18_B1_en_35_28_102/speakerIp18_B1a_003009001007-promptIp18_B1_en_35_28_102.wav,my favorite book is wonder and this book is is about @uh a young boy who has problem with @uh his face and his yes he had had some a pathology so he had problems ,my favorite book is wonder and this book is is about uh a young boy who has problem with uh his face and his yes he had had some a pathology so he had problems,True,True,True,19.992,ignore
speakerIp18_B1a_003008001008-promptIp18_B1_en_35_28_102,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge2P/audio/TLT1618train/Ip18_B1_en_35_28_102/speakerIp18_B1a_003008001008-promptIp18_B1_en_35_28_102.wav,favorite book is @uh harry potter it's @uh a fantasy and @uh i like it because @uh @uh it's @um @uh it's fantastic and @uh it's @uh as an interesting drama and @um i read it when i was @uh six years old ,favorite book is uh harry potter it's uh a fantasy and uh i like it because uh uh it's um uh it's fantastic and uh it's uh as an interesting drama and um i read it when i was uh six years old,True,True,True,19.9836875,ignore
speakerIp18_B1a_003016001018-promptIp18_B1_en_35_28_102,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge2P/audio/TLT1618train/Ip18_B1_en_35_28_102/speakerIp18_B1a_003016001018-promptIp18_B1_en_35_28_102.wav,my favorite book is the chosen one that speak about lebron james who is a p- basketball player and @uh it's @uh the greatest of all time nba player and @uh it speak about his life @uh and i love it ,my favorite book is the chosen one that speak about lebron james who is a p basketball player and uh it's uh the greatest of all time nba player and uh it speak about his life uh and i love it,True,True,True,20.064,ignore
speakerIp18_B1b_004004001002-promptIp18_B1_en_35_28_102,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge2P/audio/TLT1618train/Ip18_B1_en_35_28_102/speakerIp18_B1b_004004001002-promptIp18_B1_en_35_28_102.wav,honestly i don't read a book so i don't have my favorite book but if i would if @uh if i choice one books i prefer some history book so you can find some @uh old stories about ,honestly i don't read a book so i don't have my favorite book but if i would if uh if i choice one books i prefer some history book so you can find some uh old stories about,True,True,True,19.992,ignore
speakerIp18_B1a_003002003004-promptIp18_B1_en_35_28_102,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge2P/audio/TLT1618train/Ip18_B1_en_35_28_102/speakerIp18_B1a_003002003004-promptIp18_B1_en_35_28_102.wav,@uh i don't have a favorite book because i don't read much @uh in this time i don't have much time but @uh if i have to decide i think <unk> is a beautiful book that ,uh i don't have a favorite book because i don't read much uh in this time i don't have much time but uh if i have to decide i think <unk> is a beautiful book that,True,True,True,19.992,ignore
speakerIp18_B1a_003024002010-promptIp18_B1_en_35_28_102,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge2P/audio/TLT1618train/Ip18_B1_en_35_28_102/speakerIp18_B1a_003024002010-promptIp18_B1_en_35_28_102.wav,m-my favorite book is @uh <unk> because it's a fantasy and i like so much the fantasy <unk> speak about a guy of @uh s-son of a @um a god <unk> is the ,m my favorite book is uh <unk> because it's a fantasy and i like so much the fantasy <unk> speak about a guy of uh s son of a um a god <unk> is the,True,True,True,19.896,ignore
speakerIp18_B1a_003010002006-promptIp18_B1_en_35_28_102,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge2P/audio/TLT1618train/Ip18_B1_en_35_28_102/speakerIp18_B1a_003010002006-promptIp18_B1_en_35_28_102.wav,my favorite book is the lord of the rings because it has a really interesting story and i really like the writer and @um it is written very well and i can bond with the characters while they perform their actions ,my favorite book is the lord of the rings because it has a really interesting story and i really like the writer and um it is written very well and i can bond with the characters while they perform their actions,True,True,True,19.992,ignore
speakerIp18_B1a_003014001003-promptIp18_B1_en_35_28_102,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge2P/audio/TLT1618train/Ip18_B1_en_35_28_102/speakerIp18_B1a_003014001003-promptIp18_B1_en_35_28_102.wav,my favorite book is @um <unk> @uh they also the author is @um <unk> this is my favorite boo-book because @um i love it since i was @uh <unk> ,my favorite book is um <unk> uh they also the author is um <unk> this is my favorite boo book because um i love it since i was uh <unk>,True,True,True,19.992,ignore
speakerIp18_B1a_003010001007-promptIp18_B1_en_35_28_102,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge2P/audio/TLT1618train/Ip18_B1_en_35_28_102/speakerIp18_B1a_003010001007-promptIp18_B1_en_35_28_102.wav,my favorite book is twilight because i lo- @uh i really like love story and @uh i think @uh twilight is a very emotional stories and i love @uh the actors really really much ,my favorite book is twilight because i lo uh i really like love story and uh i think uh twilight is a very emotional stories and i love uh the actors really really much,True,True,True,19.992,ignore
speakerIp18_B1a_003012001005-promptIp18_B1_en_35_28_102,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge2P/audio/TLT1618train/Ip18_B1_en_35_28_102/speakerIp18_B1a_003012001005-promptIp18_B1_en_35_28_102.wav,favorite book @uh is @um <unk> because i lo- i i love reading and i love <unk> book or a fantasy book and @uh this is @um in this @uh book there are @uh two the these two @uh type of @um ,favorite book uh is um <unk> because i lo i i love reading and i love <unk> book or a fantasy book and uh this is um in this uh book there are uh two the these two uh type of um,True,True,True,19.992,ignore
speakerIp18_B1a_003017002002-promptIp18_B1_en_35_28_102,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge2P/audio/TLT1618train/Ip18_B1_en_35_28_102/speakerIp18_B1a_003017002002-promptIp18_B1_en_35_28_102.wav,my favorite book is mm me before you because i really like this type of books and because i think that it was very well written @uh i also like the characters of the book and them @um meaning ,my favorite book is mm me before you because i really like this type of books and because i think that it was very well written uh i also like the characters of the book and them um meaning,True,True,True,19.992,ignore
speakerIp18_B1a_003002003007-promptIp18_B1_en_35_28_102,/srv/scratch/chacmod/TLT/Dataset/TLT2020challenge2P/audio/TLT1618train/Ip18_B1_en_35_28_102/speakerIp18_B1a_003002003007-promptIp18_B1_en_35_28_102.wav,my favorite book i think that it's percy jackson because i like them m- the greek @uh mythology and @uh percy jackson talks about @uh a demigod @uh and son of a <unk> and i like it i li- ,my favorite book i think that it's percy jackson because i like them m the greek uh mythology and uh percy jackson talks about uh a demigod uh and son of a <unk> and i like it i li,True,True,True,20.064,ignore
