filepath,transcription,duration,spkr_id
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/990359/myst_990359_2009-03-04_00-00-00_MS_1.3/myst_990359_2009-03-04_00-00-00_MS_1.3_006.wav,what,0.94,990359
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/996409/myst_996409_2009-24-09_00-00-00_VB_3.1/myst_996409_2009-24-09_00-00-00_VB_3.1_011.wav,the propellers were um are um the things that excuse me the things that spin and made,12.543,996409
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t210.wav,lethargic,2.0884375,ksd0t
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/007088/myst_007088_2014-02-12_11-08-30_EE_1.2/myst_007088_2014-02-12_11-08-30_EE_1.2_022.wav,there is good little hexagrams are like energy they hold energy and each one,7.6149375,007088
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/008236/myst_008236_2015-02-05_13-30-41_EE_4.1/myst_008236_2015-02-05_13-30-41_EE_4.1_022.wav,it's a parallel,2.752125,008236
/srv/scratch/chacmod/OGI/speech/scripted/07/3/ksi04/ksi043l0.wav,represents,2.3383125,ksi04
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/002305/myst_002305_2015-03-13_13-09-32_LS_1.3/myst_002305_2015-03-13_13-09-32_LS_1.3_025.wav,a water consumer,1.36025,002305
/srv/scratch/chacmod/OGI/speech/scripted/06/1/ksh11/ksh11380.wav,pathetic,1.9683125,ksh11
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/990083/myst_990083_2008-09-05_00-00-00_MS_3.2/myst_990083_2008-09-05_00-00-00_MS_3.2_004.wav,um good,3.444,990083
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/014028/myst_014028_2013-12-16_13-52-35_MX_1.2/myst_014028_2013-12-16_13-52-35_MX_1.2_024.wav,a solution,1.723625,014028
/srv/scratch/chacmod/OGI/speech/scripted/02/1/ksd2x/ksd2x4u0.wav,stewart has five friends in richmond,6.6155625,ksd2x
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/012018/myst_012018_2013-12-20_08-38-29_MX_4.1/myst_012018_2013-12-20_08-38-29_MX_4.1_039.wav,they are pouring a certain liquid into some water and a chemical reaction might have occurred because now the water is,10.4618125,012018
/srv/scratch/chacmod/OGI/speech/scripted/09/0/ks93z/ks93z710.wav,smoothly,1.607125,ks93z
/srv/scratch/chacmod/OGI/speech/scripted/10/4/ksa0j/ksa0j3m0.wav,rock,2.796625,ksa0j
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/004031/myst_004031_2013-12-17_09-36-57_EE_2.2/myst_004031_2013-12-17_09-36-57_EE_2.2_018.wav,two,1.348625,004031
/srv/scratch/chacmod/OGI/speech/scripted/03/3/kse2w/kse2w6g0.wav,my clothes are wet from the rain,5.6146875,kse2w
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/990083/myst_990083_2008-14-05_00-00-00_MS_4.1/myst_990083_2008-14-05_00-00-00_MS_4.1_057.wav,yeah,0.636,990083
/srv/scratch/chacmod/OGI/speech/scripted/03/3/kse3y/kse3y620.wav,eating blueberries gives you blue hands,6.615625,kse3y
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/004024/myst_004024_2013-11-18_09-19-32_EE_1.1/myst_004024_2013-11-18_09-19-32_EE_1.1_008.wav,carry energy in a circuit,2.25575,004024
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/018219/myst_018219_2014-11-04_09-55-42_LS_3.1/myst_018219_2014-11-04_09-55-42_LS_3.1_025.wav,the leaves,2.5975625,018219
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/996702/myst_996702_2011-12-01_00-00-00_MS_1.2/myst_996702_2011-12-01_00-00-00_MS_1.2_009.wav,they are part of the metric system of the world,3.145,996702
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/013011/myst_013011_2013-12-05_13-55-59_EE_1.4/myst_013011_2013-12-05_13-55-59_EE_1.4_007.wav,energy and flame and wax,4.2311875,013011
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/012001/myst_012001_2013-11-07_17-55-56_MX_1.1/myst_012001_2013-11-07_17-55-56_MX_1.1_017.wav,it's filtering out the marbles from the water so now we can see what was in the water,8.0830625,012001
/srv/scratch/chacmod/OGI/speech/scripted/04/4/ksf39/ksf397v0.wav,throughout,2.11225,ksf39
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/990007/myst_990007_2008-09-05_00-00-00_ME_2.3/myst_990007_2008-09-05_00-00-00_ME_2.3_080.wav,the magnets they couldn't hold any more um weight so they had to break apart,7.337999999999999,990007
/srv/scratch/chacmod/OGI/speech/scripted/04/0/ks43r/ks43r0a0.wav,behind,4.6128125,ks43r
/srv/scratch/chacmod/OGI/speech/scripted/01/1/ks13j/ks13j4p0.wav,the angry chef cooked his vegetables,6.1195,ks13j
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/018206/myst_018206_2014-11-03_09-53-16_LS_2.3/myst_018206_2014-11-03_09-53-16_LS_2.3_027.wav,i think that garrett stop,5.6845625,018206
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/004021/myst_004021_2013-11-19_10-14-30_EE_1.2/myst_004021_2013-11-19_10-14-30_EE_1.2_001.wav,i'm good,0.8125,004021
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/990579/myst_990579_2010-08-04_00-00-00_MS_2.1/myst_990579_2010-08-04_00-00-00_MS_2.1_001.wav,good,0.922,990579
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/004015/myst_004015_2013-11-18_09-14-22_EE_1.1/myst_004015_2013-11-18_09-14-22_EE_1.1_029.wav,if we turn it around the energy just flows the opposite way,4.70125,004015
/srv/scratch/chacmod/OGI/speech/scripted/01/0/ks10f/ks10f6r0.wav,sheepdog,5.1391875,ks10f
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/990017/myst_990017_2008-01-05_00-00-00_MS_2.3/myst_990017_2008-01-05_00-00-00_MS_2.3_092.wav,um to put on the orange in one cup and put the pieces in the other and the answer would be seventy two point five grams yeah uh huh,14.169,990017
/srv/scratch/chacmod/OGI/speech/scripted/10/2/ksa05/ksa05110.wav,direct,1.968125,ksa05
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/022202/myst_022202_2014-12-19_11-44-41_LS_2.3/myst_022202_2014-12-19_11-44-41_LS_2.3_030.wav,okay,1.0,022202
/srv/scratch/chacmod/OGI/speech/scripted/00/9/ks02t/ks02t3h0.wav,push,3.11325,ks02t
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/990055/myst_990055_2008-06-05_00-00-00_MS_3.1/myst_990055_2008-06-05_00-00-00_MS_3.1_057.wav,yeah take like an could use the one hundred milliliter cylinder thingie,6.162000000000001,990055
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/007097/myst_007097_2014-02-24_12-56-05_EE_1.3/myst_007097_2014-02-24_12-56-05_EE_1.3_016.wav,it's non metal one give the energy,3.2144375,007097
/srv/scratch/chacmod/OGI/speech/scripted/02/2/ksd39/ksd392f0.wav,mouths,3.111625,ksd39
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/002030/myst_002030_2014-03-04_11-42-02_LS_1.3/myst_002030_2014-03-04_11-42-02_LS_1.3_018.wav,the germs and fungi,4.08375,002030
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/990562/myst_990562_2010-14-04_00-00-00_MS_3.2/myst_990562_2010-14-04_00-00-00_MS_3.2_020.wav,sorry marnie i do not get that,2.543,990562
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/997480/myst_997480_2010-08-01_00-00-00_ME_2.1/myst_997480_2010-08-01_00-00-00_ME_2.1_029.wav,well as you said think about the circuit it's right because the the conducing arms are attached to the wires and that's a closed circuit,12.265999999999998,997480
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/013062/myst_013062_2013-11-15_13-50-15_EE_1.1/myst_013062_2013-11-15_13-50-15_EE_1.1_023.wav,what setup,2.3249375,013062
/srv/scratch/chacmod/OGI/speech/scripted/08/4/ksj0c/ksj0c270.wav,mature,1.968375,ksj0c
/srv/scratch/chacmod/OGI/speech/scripted/04/1/ks419/ks419240.wav,loyal,2.7963125,ks419
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/012028/myst_012028_2013-12-20_08-49-43_MX_4.1/myst_012028_2013-12-20_08-49-43_MX_4.1_036.wav,yes,1.28125,012028
/srv/scratch/chacmod/OGI/speech/scripted/04/0/ks43g/ks43g0z0.wav,design,2.357875,ks43g
/srv/scratch/chacmod/OGI/speech/scripted/01/0/ks118/ks1188l0.wav,white,2.0885,ks118
/srv/scratch/chacmod/OGI/speech/scripted/01/1/ksc02/ksc024w0.wav,doug thinks he will win the race,6.09525,ksc02
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/018205/myst_018205_2014-10-15_13-23-20_LS_1.3/myst_018205_2014-10-15_13-23-20_LS_1.3_031.wav,decomposers or detrivores,3.4393125,018205
/srv/scratch/chacmod/OGI/speech/scripted/05/3/ks515/ks5157f0.wav,studio,2.7968125,ks515
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/995008/myst_995008_2008-02-04_00-00-00_ME_4.2/myst_995008_2008-02-04_00-00-00_ME_4.2_124.wav,electricity,1.088,995008
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/995005/myst_995005_2008-30-01_00-00-00_ME_2.1/myst_995005_2008-30-01_00-00-00_ME_2.1_034.wav,because um you used the light bulb too much and it ran out of power,4.922,995005
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/002281/myst_002281_2015-03-13_08-21-28_LS_1.3/myst_002281_2015-03-13_08-21-28_LS_1.3_004.wav,a producer is they make their own food,5.75,002281
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/007097/myst_007097_2014-04-04_11-04-07_EE_3.1/myst_007097_2014-04-04_11-04-07_EE_3.1_028.wav,it will not stick,2.3179375,007097
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/004034/myst_004034_2014-01-28_08-21-31_EE_3.3/myst_004034_2014-01-28_08-21-31_EE_3.3_004.wav,magnetism is caused by the magnetic force and its,13.047125,004034
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/990042/myst_990042_2008-09-05_00-00-00_MS_3.3/myst_990042_2008-09-05_00-00-00_MS_3.3_076.wav,is mass weight,1.269,990042
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/990007/myst_990007_2008-09-05_00-00-00_ME_2.3/myst_990007_2008-09-05_00-00-00_ME_2.3_082.wav,yeah cause they were together,2.145,990007
/srv/scratch/chacmod/OGI/speech/scripted/01/2/ks131/ks1318d0.wav,vase,3.1164375,ks131
/srv/scratch/chacmod/OGI/speech/scripted/02/0/ks203/ks2036w0.wav,singer,1.8941875,ks203
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/002107/myst_002107_2014-04-04_11-46-58_LS_3.1/myst_002107_2014-04-04_11-46-58_LS_3.1_006.wav,i noticed that these leaves also have veins,2.550875,002107
/srv/scratch/chacmod/OGI/speech/scripted/06/2/ks61l/ks61l1g0.wav,four,1.534625,ks61l
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/007241/myst_007241_2014-10-02_07-54-19_MX_1.2/myst_007241_2014-10-02_07-54-19_MX_1.2_006.wav,that the sand setteles to the bottom and salt doesn't,6.1868125,007241
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/002118/myst_002118_2014-02-28_12-59-04_LS_1.1/myst_002118_2014-02-28_12-59-04_LS_1.1_012.wav,veins,1.1875,002118
/srv/scratch/chacmod/OGI/speech/scripted/07/3/ksi1c/ksi1c1c0.wav,fancy,1.587875,ksi1c
/srv/scratch/chacmod/OGI/speech/scripted/01/2/ksc3y/ksc3y5f0.wav,put the key in the key hole,5.117,ksc3y
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/990578/myst_990578_2010-08-04_00-00-00_MS_2.1/myst_990578_2010-08-04_00-00-00_MS_2.1_012.wav,i still think it's like the materials that would make it different,3.341,990578
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/990038/myst_990038_2008-15-05_00-00-00_MS_4.2/myst_990038_2008-15-05_00-00-00_MS_4.2_030.wav,nine,0.53,990038
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/005016/myst_005016_2014-02-06_09-55-07_MX_2.2/myst_005016_2014-02-06_09-55-07_MX_2.2_001.wav,good how are you,1.875,005016
/srv/scratch/chacmod/OGI/speech/scripted/04/1/ks419/ks4193h0.wav,push,2.3388125,ks419
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/995745/myst_995745_2011-17-02_00-00-00_ME_2.3/myst_995745_2011-17-02_00-00-00_ME_2.3_021.wav,they're all metal they're all metal and um yeah pretty much,5.75,995745
/srv/scratch/chacmod/OGI/speech/scripted/06/1/ksh3q/ksh3q0b0.wav,beyond,2.3591875,ksh3q
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/990049/myst_990049_2008-07-05_00-00-00_MS_3.1/myst_990049_2008-07-05_00-00-00_MS_3.1_020.wav,yes,0.716,990049
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/990038/myst_990038_2008-01-05_00-00-00_MS_2.3/myst_990038_2008-01-05_00-00-00_MS_2.3_004.wav,um well we we're seeing what could fit inside like a cube,6.113,990038
